,client_user_id,num_sessions,avg_dropped_frames,avg_fps,std_fps,avg_bitrate,std_bitrate,avg_rtt,std_rtt,devices,windows_entry,mac_entry,android_entry,total_hours,last_session,first_session,stream_quality,next_session
302,4c363b05-9dcf-4034-8fd3-bd0604e961c1,1907,2.8898793917147354,27.102254850550604,7.063757769182829,4154.752490823283,4157.590573682224,216.77346617724174,538.2145564562718,Windows,1907,0,0,280.25416666666666,2022-09-20 11:16:35,2022-09-08 19:01:20,0.0,0.0
303,4cc04ab1-f4ca-4273-a7a5-a6947ede1dec,1442,0.7600554785020804,46.834257975034674,9.996786008705003,3190.654646324549,1862.5572613237532,318.002773925104,34.09719939926468,Windows,1442,0,0,2.001388888888889,2022-09-13 20:42:55,2022-09-13 18:42:50,0.0,0.0
304,4d08909a-c73f-4f1c-9bb6-58556e6ab0e2,600,0.31166666666666665,34.86,11.06863094447434,1396.6483333333333,2187.240088942001,14.638333333333334,5.477914121947748,Windows,600,0,0,0.8361111111111111,2022-09-06 20:50:35,2022-09-06 20:00:25,0.0,0.0
305,4d75af82-dca3-457a-a83a-ddc5ba49f1c3,567,0.12345679012345678,19.077601410934744,12.70295210242345,3751.342151675485,2606.02571032343,53.39153439153439,19.794040192613117,Windows,567,0,0,23.279166666666665,2022-09-27 15:17:25,2022-09-26 16:00:40,0.0,0.0
306,4d88188b-888a-4487-a937-91ae0eb0d6a5,4868,0.2682826622843057,49.44658997534922,11.33117576217017,7902.471651602301,5561.851809262786,112.37366474938374,87.03757823745393,Windows,4868,0,0,46.34861111111111,2022-09-27 20:56:35,2022-09-25 22:35:40,0.0,0.0
307,4dc30007-bcdb-40b6-9727-44b785feee12,107,0.0,57.308411214953274,6.939647121354922,4824.542056074766,3197.3210286124,28.233644859813083,7.19221203442705,Windows,107,0,0,0.15138888888888888,2022-09-03 18:54:30,2022-09-03 18:45:25,0.0,0.0
308,4dc51148-d0e9-47ca-b09a-7e268073a99e,131,1.0305343511450382,27.984732824427482,6.783446744521581,1170.3587786259543,861.1499116226676,599.8931297709923,1764.360312285396,Windows,131,0,0,0.18055555555555555,2022-09-04 12:41:30,2022-09-04 12:30:40,0.0,0.0
309,4de5d20f-57c0-4697-a90a-ffed93aa7cfb,56743,0.007754260437410782,29.092804398780466,1.9473855986887407,9662.235817633893,2079.1197245994945,17.23421391184816,3.2671605687197793,Windows,56743,0,0,705.6138888888889,2022-09-30 23:52:30,2022-09-01 14:15:40,0.0,0.0
310,4e7b28dc-69f8-4234-9cab-553f4497ccc0,1459,0.0,27.111034955448936,7.446932159298686,1113.7731322823852,2161.7551301510593,69.32488005483208,29.90008518155434,Windows,1459,0,0,23.744444444444444,2022-09-23 17:44:50,2022-09-22 18:00:10,0.0,0.0
311,4e8050f6-4ac2-4403-82d9-2f21fdc6565a,7751,0.30718616952651273,27.98916268868533,4.82165932709489,2441.655012256483,1768.959203070941,42.843504063991745,283.35537818183633,Windows,7751,0,0,307.56111111111113,2022-09-24 15:34:35,2022-09-11 20:00:55,0.0,0.0
