,dropped_frames_mean,dropped_frames_std,dropped_frames_amax,fps_mean,fps_std,bitrate_mean,bitrate_std,rtt_mean,rtt_std,timestamp_ptp
4075,0.0,0.0,0.0,29.618978102189782,1.6611986111068056,9113.960583941605,3549.8766484491152,14.94890510948905,8.368103923419353,0 days 00:57:00
4076,0.0,0.0,0.0,29.792723263506065,0.9714648218816656,8952.57993384785,3302.1291266795997,12.217199558985667,2.521915353364625,0 days 01:16:30
4077,0.0,0.0,0.0,29.78358208955224,1.0381392614911051,7408.776119402985,4131.904115813427,12.861940298507463,2.4018905223514544,0 days 03:00:20
4078,0.0,0.0,0.0,29.949720670391063,0.5161128469395233,7232.164804469274,4125.2235587587475,14.600558659217876,2.460830339851865,0 days 00:29:45
4079,0.0,0.0,0.0,29.39114526161727,1.6300241304759195,8590.114160263447,3527.7580748326272,14.650933040614708,2.5560331208849587,0 days 03:51:25
4080,0.0,0.0,0.0,29.571147218119155,0.9824743135768554,6938.612013786312,4352.801618745234,12.640078778926638,4.083361504454002,0 days 02:51:40
4081,0.0,0.0,0.0,29.947274352100088,0.5905405082859009,10068.44057193923,1888.175842537372,15.403038427167113,9.870595173449706,0 days 01:33:40
4082,0.0,0.0,0.0,29.354471544715448,1.489772517914598,6516.908943089431,4282.758047488066,14.34471544715447,3.199379094180447,0 days 00:51:55
4083,0.0,0.0,0.0,29.961463414634146,0.4665249086213161,9854.968780487805,2233.480625883979,12.891707317073172,2.4149727178803713,0 days 02:51:30
4084,0.0,0.0,0.0,29.88888888888889,0.6863753427324674,10253.220486111111,1736.2891629530725,13.947916666666666,2.8924000865837303,0 days 00:48:55
4085,0.0,0.0,0.0,29.556107249255213,1.553096035870691,9480.62859980139,2601.026370878292,16.13604766633565,10.19308430573051,0 days 01:25:05
4086,0.0,0.0,0.0,29.444556451612904,1.6763778780299683,8810.982862903225,3455.914999104868,13.018145161290322,3.261813642939801,0 days 01:23:20
