iter	RMSE
0	1.861098246
1	1.841187048
2	1.820116273
3	1.797353771
4	1.776362531
5	1.75456316
6	1.736700991
7	1.713869624
8	1.69754702
9	1.672821306
10	1.655044015
11	1.630928064
12	1.613359794
13	1.591108686
14	1.572420284
15	1.554786509
16	1.532230468
17	1.51511735
18	1.497366004
19	1.477089205
20	1.462821814
21	1.441958202
22	1.417608172
23	1.401958593
24	1.381648498
25	1.365569479
26	1.348619371
27	1.323704072
28	1.305791663
29	1.282329384
30	1.26359899
31	1.247099757
32	1.225985942
33	1.214132342
34	1.196702926
35	1.18295172
36	1.167021784
37	1.149553781
38	1.133101201
39	1.11905583
40	1.103691595
41	1.083717528
42	1.072094291
43	1.05832331
44	1.046850163
45	1.033621689
46	1.021598755
47	1.008685102
48	0.9959493397
49	0.9848153065
50	0.9717658424
51	0.9585257957
52	0.9472691364
53	0.9389043543
54	0.9279994175
55	0.9181291832
56	0.9103585085
57	0.8978408792
58	0.8829590721
59	0.870042576
60	0.857769008
61	0.8514587075
62	0.8433380296
63	0.8329527789
64	0.8244616178
65	0.815947306
66	0.8072714613
67	0.7953776277
68	0.7887130894
69	0.7780786445
70	0.7672338879
71	0.7569786013
72	0.748069762
73	0.7422214494
74	0.7348644169
75	0.7245842582
76	0.7159800429
77	0.707392585
78	0.6980531117
79	0.6903471831
80	0.6824038461
81	0.6754474813
82	0.6680128937
83	0.6630433729
84	0.6534933357
85	0.64841832
86	0.638959313
87	0.629424471
88	0.6197835555
89	0.6150986293
90	0.606535973
91	0.5992957851
92	0.5924763747
93	0.5876434106
94	0.5775987055
95	0.5728000976
96	0.566056458
97	0.5559857798
98	0.5497433579
99	0.5443265033
100	0.539335965
101	0.533584873
102	0.5303696925
103	0.5238617906
104	0.5167606288
105	0.5111233767
106	0.5038319769
107	0.4973936583
108	0.4928492577
109	0.4881308058
110	0.4831660344
111	0.4785767981
112	0.4727991534
113	0.466221882
114	0.4604280896
115	0.4557070739
116	0.4510534623
117	0.4464955766
118	0.4432471625
119	0.4374462683
120	0.4323702597
121	0.4280729379
122	0.4222671809
123	0.4171958076
124	0.4120201401
125	0.4074785606
126	0.4028092632
127	0.400240756
128	0.3962215345
129	0.3925802755
130	0.3889869466
131	0.384955466
132	0.3803287672
133	0.3751811146
134	0.3712571688
